Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2003 [YR2003],2006 [YR2006],2009 [YR2009],2012 [YR2012],2015 [YR2015],2018 [YR2018]
Haiti,HTI,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.344,4.029,3.746,3.501,3.288,3.098,2.935
Honduras,HND,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.237,3.815,3.419,3.063,2.774,2.581,2.46
"Hong Kong SAR, China",HKG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.032,0.901,0.984,1.055,1.285,1.196,1.072
Hungary,HUN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.32,1.27,1.34,1.32,1.34,1.45,1.55
Iceland,ISL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.08,1.99,2.08,2.23,2.04,1.8,1.71
India,IND,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.311,3.109,2.899,2.661,2.439,2.295,2.222
Indonesia,IDN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.512,2.513,2.51,2.492,2.455,2.389,2.311
"Iran, Islamic Rep.",IRN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.067,1.878,1.812,1.821,1.901,2.041,2.137
Iraq,IRQ,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.94,4.676,4.48,4.374,4.243,3.972,3.672
Ireland,IRL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.89,1.96,1.91,2.06,1.98,1.85,1.75
Isle of Man,IMN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,..,..,..,..,..,..,..
Israel,ISR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.95,2.95,2.88,2.96,3.05,3.09,3.09
Italy,ITA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.26,1.29,1.37,1.45,1.43,1.35,1.29
Jamaica,JAM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.577,2.439,2.325,2.212,2.102,2.026,1.979
Japan,JPN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.359,1.29,1.32,1.37,1.41,1.45,1.42
Jordan,JOR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.109,3.977,3.866,3.706,3.436,3.071,2.761
Kazakhstan,KAZ,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.8,2.03,2.36,2.55,2.62,2.74,2.84
Kenya,KEN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.178,4.979,4.767,4.482,4.123,3.765,3.492
Kiribati,KIR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.058,3.95,3.895,3.859,3.796,3.692,3.569
"Korea, Dem. People's Rep.",PRK,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.991,1.986,1.966,1.943,1.931,1.922,1.904
"Korea, Rep.",KOR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.48,1.191,1.132,1.149,1.297,1.239,0.977
Kosovo,XKX,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.95,2.34,2.43,2.34,2.19,2.09,2
Kuwait,KWT,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.845,2.614,2.447,2.291,2.139,2.083,2.082
Kyrgyz Republic,KGZ,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.4,2.5,2.7,2.9,3.2,3.2,3.3
Lao PDR,LAO,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.311,3.845,3.516,3.234,2.977,2.796,2.667
Latvia,LVA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.25,1.32,1.46,1.46,1.44,1.7,1.6
Lebanon,LBN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.405,2.142,1.956,1.938,2.038,2.103,2.087
Lesotho,LSO,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.792,3.616,3.449,3.328,3.265,3.218,3.141
Liberia,LBR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.866,5.61,5.338,5.062,4.793,4.54,4.315
Libya,LBY,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.851,2.609,2.509,2.485,2.447,2.356,2.24
Liechtenstein,LIE,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.57,1.36,1.43,1.71,1.51,1.4,1.58
Lithuania,LTU,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.39,1.26,1.33,1.5,1.6,1.7,1.63
Luxembourg,LUX,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.76,1.62,1.65,1.59,1.57,1.47,1.38
"Macao SAR, China",MAC,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,0.95,0.86,0.911,1.048,1.161,1.203,1.217
Madagascar,MDG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.551,5.24,4.956,4.689,4.442,4.241,4.077
Malawi,MWI,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.098,6,5.844,5.491,4.988,4.527,4.209
Malaysia,MYS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.784,2.438,2.249,2.169,2.11,2.056,2.001
Maldives,MDV,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.771,2.372,2.262,2.231,2.129,1.991,1.87
Mali,MLI,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.897,6.842,6.76,6.612,6.396,6.145,5.877
Malta,MLT,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.68,1.48,1.36,1.42,1.42,1.37,1.23
Marshall Islands,MHL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,..,..,4.5,..,..,..,..
Mauritania,MRT,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.413,5.277,5.14,5.019,4.895,4.738,4.561
Mauritius,MUS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.99,1.87,1.77,1.59,1.54,1.36,1.41
Mexico,MEX,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.716,2.579,2.456,2.364,2.294,2.215,2.129
"Micronesia, Fed. Sts.",FSM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.3,4.007,3.739,3.522,3.347,3.193,3.053
Moldova,MDA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.435,1.247,1.227,1.268,1.273,1.261,1.262
Monaco,MCO,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,..,..,..,..,..,..,..
Mongolia,MNG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.141,2.087,2.253,2.541,2.794,2.918,2.895
Montenegro,MNE,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.875,1.852,1.73,1.98,1.72,1.74,1.76
Morocco,MAR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.771,2.632,2.553,2.556,2.579,2.524,2.415
Mozambique,MOZ,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.826,5.768,5.634,5.454,5.264,5.062,4.852
Myanmar,MMR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.878,2.763,2.596,2.412,2.274,2.198,2.154
Namibia,NAM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.88,3.604,3.56,3.62,3.623,3.54,3.396
Nauru,NRU,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,..,..,..,..,..,..,..
Nepal,NPL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.955,3.422,2.986,2.644,2.351,2.098,1.917
Netherlands,NLD,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.72,1.75,1.72,1.79,1.72,1.66,1.59
New Caledonia,NCL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.59,2.27,2.29,2.2,2.28,2.06,1.97
New Zealand,NZL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.98,1.93,2.01,2.13,2.1,1.99,1.71
Nicaragua,NIC,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.111,2.874,2.725,2.628,2.55,2.48,2.404
Niger,NER,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,7.679,7.645,7.592,7.511,7.376,7.169,6.913
Nigeria,NGA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.106,6.036,5.958,5.872,5.758,5.592,5.387
North Macedonia,MKD,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.723,1.605,1.46,1.5,1.5,1.49,1.42
Northern Mariana Islands,MNP,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,..,..,..,..,..,..,..
Norway,NOR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.85,1.8,1.9,1.98,1.85,1.72,1.56
Oman,OMN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.716,3.142,2.904,2.868,2.896,2.939,2.888
Pakistan,PAK,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.037,4.648,4.31,4.031,3.816,3.66,3.51
Palau,PLW,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.83,..,..,..,2.23,2.21,..
Panama,PAN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.744,2.679,2.643,2.628,2.601,2.54,2.461
Papua New Guinea,PNG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.525,4.368,4.21,4.043,3.869,3.707,3.564
Paraguay,PRY,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.553,3.21,2.97,2.787,2.625,2.508,2.429
Peru,PER,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.845,2.723,2.682,2.594,2.441,2.323,2.254
Philippines,PHL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.811,3.65,3.429,3.236,3.055,2.805,2.576
Poland,POL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.37,1.22,1.27,1.4,1.33,1.32,1.46
Portugal,PRT,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.55,1.44,1.37,1.34,1.28,1.31,1.42
